Analytical Metric & Condition,4 Components,5 Components,6 Components,7 Components,8 Components,9 Components,10 Components
Soluble Antigen Interference with Anti-ID [100x],-107.34794786162294,-102.29797376927345,-115.89767582343762,-106.76775659126614,-112.60372069076305,-114.00298454537301,-109.29364239839722
Soluble Antigen Interference with Anti-ID [10x],-125.98960950303419,-117.75368253548359,-108.68058849861302,-113.35858510564566,-108.62351649422155,-110.68493735639728,-111.09061720290174
Soluble Antigen Interference with Anti-ID [1x],-87.91799236175535,-107.2646477257232,-100.77726916722315,-104.80242720041784,-91.95540915885891,-116.90555269103189,-111.60569391046442
Matrix Interference with Anti-ID [100x],-118.82864196833765,-128.94634005470988,-120.5142378709676,-124.36647986359426,-136.19997075619943,-140.3785911991311,-152.51424883813397
Matrix Interference with Anti-ID [10x],-93.22034158166585,-90.88134089014125,-93.6182525349198,-109.36141907417613,-122.90988214558624,-120.75091719354089,-134.29938020810448
Matrix Interference with Anti-ID [1x],-80.14633630177563,-100.10854659638844,-94.26046129132041,-106.04631438850933,-109.89961981318274,-113.13690286444734,-103.47792724530493
Combination Interference with Anti-ID [100x],-116.09508421377342,-118.21900039819968,-119.42027626894676,-123.19692712994691,-114.70246595540397,-111.34762085016001,-123.63933445062281
Combination Interference with Anti-ID [10x],-110.0813051265942,-101.75458430814876,-109.83929444415963,-124.43461644343233,-116.07244584903705,-116.99010611906775,-109.7566304567726
Combination Interference with Anti-ID [1x],-104.44332507097829,-94.50119835006208,-89.20700328055639,-102.404647692483,-98.99788147017557,-99.75677909630934,-108.09219555032507
Soluble Antigen in Matrix Interference with Anti-ID [100x],-123.94338291696485,-130.33950520305,-145.23324006953416,-150.18756007155625,-151.6268441648158,-152.30954069988846,-150.83198446448017
Soluble Antigen in Matrix Interference with Anti-ID [10x],-111.5361221225968,-131.21766168556377,-125.04349943102,-117.90281502308343,-111.08756168361595,-121.99720953714197,-131.2718694429155
Soluble Antigen in Matrix Interference with Anti-ID [1x],-55.745703257524866,-47.380563540150135,-69.92258525751029,-71.13124436399346,-74.63653818747582,-70.2739696245091,-74.59987478954724
